"","burial.number","Latitude","Longitude"
"1","5_092",37.9407477348317,23.6936406957797
"2","XI_1376",37.9397492207193,23.6939732133455
"3","XI_1414",37.9397311064871,23.6939119022119
"4","XI_1262",37.9397391474572,23.6938969390792
"5","5_239",37.9408406368416,23.693853110357
"6","5_238",37.9408300650242,23.6938332844693
"7","5_234",37.9408322328389,23.6938774423555
"8","5_245",37.9408233957315,23.6938623274992
"9","5_258",37.9408007891046,23.6939558995381
"10","5_227",37.9407960589123,23.6939355018873
"11","5_246",37.9408060062497,23.6937904049071
"12","5_249",37.9408040316754,23.6937877137422
"13","5_076",37.9407990628492,23.6937842782839
"14","5_089",37.9407900041608,23.6937871247444
"15","5_073",37.9408074425233,23.6938164245051
"16","5_012",37.940801208921,23.6938201217994
"17","5_014",37.9407930476622,23.6938390539658
"18","5_011",37.940785760963,23.6937995606245
"19","5_019",37.9407965257505,23.6938607450827
"20","5_015",37.9407873393812,23.6938471771364
"21","5_020",37.9407931115314,23.6938634587328
"22","5_231",37.9408045850005,23.6938355507685
"23","5_235",37.9408046256967,23.6938511006303
"24","5_023",37.9408072156282,23.6938933129868
"25","5_047",37.9407995921144,23.6938887016319
"26","5_247",37.9407796696916,23.6937598460762
"27","5_248",37.9407777011064,23.6937590986412
"28","5_218",37.9407692224943,23.6937549221839
"29","5_216",37.9407609488226,23.6937632722907
"30","5_230",37.940771998996,23.6937699211947
"31","5_217",37.9407721784388,23.6937730523009
"32","5_147",37.9407867275497,23.6937769872002
"33","5_149",37.9407647156784,23.6937974884706
"34","5_220",37.9407639957271,23.693816497691
"35","5_010",37.9407752682838,23.693809971854
"36","5_009",37.940756798272,23.6938152337868
"37","5_016",37.9407617025594,23.6937936681644
"38","5_190",37.940755705077,23.6937997679892
"39","5_121",37.9407580213426,23.6938465756789
"40","5_118",37.9407800313104,23.6938270656561
"41","5_140",37.9407677845684,23.6938501663916
"42","5_018",37.9407611586407,23.6938603076978
"43","5_022",37.940772022111,23.6938872279634
"44","5_250",37.9407805408111,23.6939001818856
"45","5_259",37.9407775602091,23.6938960427907
"46","5_128",37.9407737745698,23.693868069904
"47","5_184",37.9407837596696,23.6938737866707
"48","5_257",37.940769664673,23.6939187077064
"49","5_025",37.9407297751137,23.6937179541074
"50","5_221",37.9407328272649,23.6937260099866
"51","5_168",37.940740554488,23.6937358057444
"52","5_176",37.9407371326051,23.6937431648613
"53","5_201",37.9407274275329,23.6937600675308
"54","5_232",37.9407485930263,23.6937705309926
"55","5_205",37.9407166156632,23.6937298024208
"56","5_222",37.9407135840946,23.6937296079537
"57","5_024",37.9407097175042,23.6937550726704
"58","5_174",37.9407060837382,23.6937438111199
"59","5_214",37.9407340266422,23.6937772128333
"60","5_157",37.9407346098786,23.693781037588
"61","5_072",37.9407127673369,23.6937932316708
"62","5_226",37.9407435967761,23.693802413223
"63","5_005",37.9407187317825,23.6938182411182
"64","5_156",37.9407481204504,23.6938093260762
"65","5_188",37.9407424020813,23.6938156603057
"66","5_256",37.9407479708747,23.6938458437549
"67","5_125",37.9407382345652,23.6938511602784
"68","5_219",37.9407274246304,23.6938529636352
"69","5_224",37.9407517023552,23.6938944493122
"70","5_017",37.9407470893609,23.6938847441045
"71","5_154",37.9407421867013,23.6939093493833
"72","5_021",37.9407343411544,23.6939104734809
"73","5_223",37.9407350717043,23.6939134202024
"74","5_210",37.9407254490915,23.693920166743
"75","5_155",37.94072817322,23.6938969009137
"76","5_211",37.9407256672316,23.6938822877079
"77","5_200",37.9406856669057,23.6936079430303
"78","5_206",37.9406891161502,23.6937246151352
"79","5_183",37.9406985589555,23.6937535043817
"80","5_074",37.9407050224217,23.6937808071404
"81","5_182",37.9406805258615,23.6937638492056
"82","5_087",37.9406729230407,23.6938001987992
"83","5_243",37.9406756889171,23.6937932350484
"84","5_242",37.9406743470338,23.6937881263539
"85","5_117",37.9406962196792,23.6938270318647
"86","5_008",37.9407037960026,23.6938442607168
"87","5_004",37.940686733819,23.6938540017278
"88","5_006",37.9407026505707,23.6938660018247
"89","5_044",37.940693080638,23.6938608477948
"90","5_027",37.9407039226687,23.6938685536655
"91","5_028",37.940699504767,23.6938731276223
"92","5_049",37.9406968520997,23.693875135928
"93","5_048",37.940699723167,23.6938839140751
"94","5_233",37.9406791238957,23.6938480406273
"95","5_252",37.9407117798495,23.6938963297318
"96","5_251",37.9407087439793,23.6938969023065
"97","5_137",37.9406689335115,23.6935818189329
"98","5_150",37.9406704728989,23.6935897229313
"99","5_123",37.9406750936404,23.6936140767648
"100","5_124",37.9406479449625,23.6936148296983
"101","5_122",37.9406464805003,23.6936355331068
"102","5_148",37.9406655292984,23.6936595865746
"103","5_126",37.9406625862305,23.6936715049009
"104","5_260",37.940662494579,23.693684691603
"105","5_001",37.9406780638531,23.6937092387229
"106","5_094",37.9406757072457,23.6937034946944
"107","5_254",37.940666869989,23.6937120827204
"108","5_198",37.9406647109069,23.6937335879267
"109","5_255",37.9406598873515,23.6937284937668
"110","5_002",37.9406525624882,23.6937890776147
"111","5_229",37.9406424930235,23.6937952058041
"112","5_003",37.9406398811047,23.6937721511787
"113","5_080",37.9406715694464,23.6938391693611
"114","5_138",37.9406373176896,23.6935821057338
"115","5_146",37.9406254712999,23.693589770878
